t	x	y	theta	v	omega	v	omega
6.29	2.04138	1.98226	0.818539	0.499991	0.00974092	0.5	-0.089714
6.311	2.04856	1.98992	0.81875	0.499982	0.0107166	0.5	-0.089714
6.329	2.05539	1.99723	0.818962	0.499991	0.010383	0.5	-0.089714
6.352	2.06256	2.0049	0.819175	0.49999	0.00977455	0.5	-0.089714
6.373	2.06973	2.01257	0.819389	0.500005	0.0107316	0.5	-0.112025
6.393	2.07655	2.01988	0.819604	0.499828	0.0107325	0.5	-0.112025
6.414	2.08372	2.02755	0.818609	0.500011	-0.111236	0.5	-0.112025
6.434	2.09056	2.03485	0.816402	0.500092	-0.109448	0.5	-0.112025
6.454	2.09741	2.04213	0.814282	0.499971	-0.0996394	0.5	-0.112025
6.475	2.10463	2.04975	0.812164	0.49998	-0.102533	0.5	-0.112025
6.495	2.11152	2.057	0.810116	0.500138	-0.102192	0.5	-0.112025
6.514	2.11842	2.06424	0.808075	0.499984	-0.101916	0.5	-0.112025
6.535	2.12568	2.07183	0.805934	0.499937	-0.102006	0.5	-0.112025
6.556	2.13261	2.07903	0.803892	0.500082	-0.102145	0.5	-0.112025
6.576	2.13956	2.08623	0.80185	0.500035	-0.102062	0.5	-0.0698857
6.596	2.14687	2.09377	0.799695	0.499874	-0.103655	0.5	-0.0698857
6.616	2.15384	2.10093	0.797429	0.500033	-0.127823	0.5	-0.0698857
6.637	2.16084	2.10808	0.794895	0.500061	-0.125002	0.5	-0.0698857
6.658	2.1682	2.11556	0.79228	0.499894	-0.123921	0.5	-0.0698857
6.677	2.17558	2.12303	0.789672	0.500005	-0.12443	0.5	-0.0698857
6.699	2.18263	2.13012	0.787184	0.500169	-0.124405	0.5	-0.0698857
6.72	2.19005	2.13755	0.784571	0.499887	-0.124427	0.5	-0.0698857
6.741	2.19749	2.14496	0.781959	0.499995	-0.124415	0.5	-0.0698857
6.76	2.2046	2.152	0.779472	0.500151	-0.12427	0.5	-0.0698857
6.781	2.21172	2.15902	0.776984	0.499972	-0.12446	0.5	0.072441
6.799	2.21886	2.16602	0.774496	0.499939	-0.124415	0.5	0.072441
6.822	2.22637	2.17336	0.772529	0.500067	-0.0747037	0.5	0.072441
6.841	2.23354	2.18033	0.77094	0.500078	-0.0820202	0.5	0.072441
6.862	2.24107	2.18764	0.769203	0.499935	-0.0830411	0.5	0.072441
6.884	2.24862	2.19494	0.767473	0.500075	-0.0820643	0.5	0.072441
6.902	2.25582	2.20188	0.765833	0.500027	-0.081959	0.5	0.072441
6.925	2.2634	2.20915	0.764103	0.499925	-0.0825177	0.5	0.072441
6.945	2.27099	2.21641	0.762371	0.500086	-0.082497	0.5	0.072441
6.966	2.27822	2.22331	0.760731	0.49999	-0.0818958	0.5	0.134008
6.987	2.28583	2.23054	0.759004	0.500041	-0.0822824	0.5	0.134008
